frame,id,x,y,width,height,xVelocity,yVelocity,xAcceleration,yAcceleration,frontSightDistance,backSightDistance,dhw,thw,ttc,precedingXVelocity,precedingId,followingId,leftPrecedingId,leftAlongsideId,leftFollowingId,rightPrecedingId,rightAlongsideId,rightFollowingId,laneId
1,1,41.84,18.04,4.65,2.12,-27.81,0.08,0.15,-0.01,44.01,368.01,0.0,0.0,0.0,0.0,0,7,0,0,2,0,3,14,3
1,2,54.31,22.1,4.75,1.82,-35.23,-0.09,0.85,0.0,55.89,356.14,0.0,0.0,0.0,0.0,0,6,0,0,0,1,0,7,4
1,3,33.24,14.0,11.52,2.5,-22.58,-0.0,0.0,-0.0,37.85,374.17,0.0,0.0,0.0,0.0,0,14,0,1,7,0,0,0,2
1,4,316.48,31.33,4.55,1.72,34.62,-0.0,0.32,-0.0,94.19,317.83,0.0,0.0,0.0,0.0,0,9,0,0,0,0,5,10,6
1,5,316.52,35.45,5.15,1.92,30.74,0.18,0.13,-0.0,93.78,318.24,0.0,0.0,0.0,0.0,0,10,0,4,9,0,0,13,7
1,6,102.61,21.95,4.65,2.22,-32.49,-0.17,0.09,0.01,104.65,307.37,43.55,1.34,-15.86,-35.23,2,8,0,0,0,1,0,7,4
1,7,136.44,18.3,4.75,2.02,-29.06,0.0,-0.48,0.0,138.55,273.47,89.95,3.09,71.61,-27.81,1,15,6,0,8,3,0,14,3
1,8,160.95,22.29,4.65,1.92,-31.24,0.09,-0.31,-0.0,163.01,249.01,53.7,1.72,-43.15,-32.49,6,18,0,0,0,7,0,15,4
1,9,229.77,31.12,4.55,1.82,33.38,-0.0,0.35,-0.0,180.9,231.12,82.16,2.46,-66.64,34.62,4,11,0,0,0,10,0,12,6
1,10,235.19,34.86,5.05,1.92,29.52,0.09,0.29,-0.0,175.19,236.83,76.28,2.58,-62.75,30.74,5,12,4,0,9,13,0,26,7
1,11,207.84,31.12,4.95,2.02,32.91,-0.0,0.07,-0.0,202.63,209.4,16.98,0.51,-35.8,33.38,9,19,0,0,0,10,12,17,6
1,12,209.86,35.18,4.45,1.92,33.37,0.0,-0.65,0.0,200.71,211.32,20.88,0.62,5.4,29.52,10,17,9,11,19,13,0,26,7
1,13,253.43,39.38,2.93,1.72,23.31,0.09,0.12,0.0,157.91,254.12,0.0,0.0,0.0,0.0,0,26,5,0,10,0,0,0,8
1,14,149.32,14.25,4.04,1.92,-21.79,0.0,0.01,0.0,151.03,260.99,104.56,4.79,-132.79,-22.58,3,16,7,0,15,0,0,0,2
1,15,202.06,18.11,9.9,2.12,-26.52,-0.0,-0.42,-0.0,206.72,205.3,60.87,2.29,-23.91,-29.06,7,20,8,0,18,22,0,33,3
1,16,170.37,14.06,4.45,1.82,-21.68,-0.0,0.01,0.0,172.26,239.76,17.01,0.78,-151.02,-21.79,14,22,7,0,15,0,0,0,2
1,17,152.06,34.75,4.35,1.82,31.46,-0.0,0.08,0.0,258.61,153.41,53.46,1.7,-27.88,33.37,12,21,11,0,19,13,0,26,7
1,18,258.69,22.06,4.95,2.02,-30.04,0.09,-0.15,-0.0,260.94,151.08,93.09,3.1,-77.09,-31.24,8,29,0,0,0,20,27,30,4
1,19,113.74,31.14,5.15,2.12,34.44,-0.01,-0.02,-0.0,296.61,115.41,88.94,2.58,58.0,32.91,11,23,0,0,0,21,0,25,6
1,20,228.56,18.39,4.85,2.02,-23.92,-0.18,-0.44,0.0,230.67,181.35,16.59,0.69,-6.35,-26.52,15,27,8,0,18,22,0,33,3
1,21,128.54,35.45,4.04,1.72,31.3,-0.09,-0.09,0.0,282.36,129.66,19.48,0.62,-123.46,31.46,17,25,11,0,19,13,26,31,7
1,22,192.95,14.04,4.45,2.12,-21.71,-0.0,0.0,0.0,194.84,217.18,18.13,0.83,653.26,-21.68,16,33,7,0,15,0,0,0,2
1,23,84.09,31.6,3.84,1.82,35.43,-0.09,-0.25,0.0,326.93,85.09,25.81,0.73,25.96,34.44,19,24,0,0,0,21,25,28,6
1,24,40.48,31.73,4.75,1.92,36.85,-0.0,0.13,-0.01,370.08,41.94,38.86,1.05,27.34,35.43,23,0,0,0,0,25,0,28,6
1,25,87.73,35.1,4.95,1.92,31.03,-0.08,0.24,0.0,322.68,89.34,35.85,1.15,-131.65,31.3,21,28,19,23,24,26,0,31,7
1,26,129.09,39.24,4.35,1.82,25.67,0.26,0.19,-0.01,281.6,130.42,120.0,4.67,50.81,23.31,13,31,17,21,25,0,0,0,8
1,27,262.92,18.09,4.75,1.92,-22.69,-0.0,0.17,-0.0,264.98,147.04,29.51,1.3,-23.73,-23.92,20,30,8,18,29,22,0,33,3
1,28,34.91,35.65,4.24,1.82,31.04,-0.09,0.34,0.0,375.84,36.18,48.58,1.56,4857.54,31.03,25,0,24,0,0,31,0,0,7
1,29,346.19,22.84,4.45,1.92,-27.11,0.0,-0.39,-0.0,348.15,63.87,82.55,3.04,-28.14,-30.04,18,34,0,0,0,30,0,32,4
1,30,332.27,18.4,3.74,1.82,-26.09,0.09,0.11,-0.01,333.85,78.17,64.6,2.47,18.97,-22.69,27,32,18,0,29,22,0,33,3
1,31,62.78,39.28,14.15,2.5,24.14,-0.0,0.13,-0.0,343.65,68.37,52.16,2.16,-34.1,25.67,26,0,25,0,28,0,0,0,8
1,32,359.62,18.59,5.15,1.92,-25.55,-0.08,-0.13,0.0,361.9,50.13,23.61,0.92,-44.1,-26.09,30,0,29,0,34,22,0,33,3
1,33,370.17,14.44,4.55,1.82,-24.84,0.09,0.01,-0.01,372.15,39.87,172.77,6.95,55.11,-21.71,22,0,32,0,0,0,0,0,2
1,34,404.51,22.15,4.85,2.02,-27.29,-0.1,0.07,-0.01,406.67,5.36,53.87,1.97,299.48,-27.11,29,0,0,0,0,32,0,0,4
